standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,2,3,1,10.1.1.4,10.1.1.1,TCP,15401,15401,0,0,0.0973649,0.0349778,2212.01
ac,2,3,1,10.1.1.5,10.1.1.1,TCP,15404,15404,0,0,0.0887018,0.0295464,2212.44
ac,2,3,1,10.1.1.6,10.1.1.1,TCP,15407,15407,0,0,0.0879327,0.0291547,2212.87
ac,2,3,1,10.1.1.1,10.1.1.5,TCP,7702,7702,0,0,0.234747,0.0668606,106.802
ac,2,3,1,10.1.1.1,10.1.1.6,TCP,7704,7704,0,0,0.231415,0.0631076,106.83
ac,2,3,1,10.1.1.1,10.1.1.4,TCP,7701,7701,0,0,0.231063,0.0624479,106.788
ac,2,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,0.48744,0.279677,75.1499
ac,2,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,0.589714,0.277884,75.1499
ac,2,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,0.540509,0.336784,75.1499
ac,2,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,0.535237,0.302193,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,4,3,1,10.1.1.6,10.1.1.1,TCP,15401,15401,0,0,0.138396,0.0615518,2212.01
ac,4,3,1,10.1.1.7,10.1.1.1,TCP,15401,15401,0,0,0.125294,0.052705,2212.01
ac,4,3,1,10.1.1.8,10.1.1.1,TCP,15410,15410,0,0,0.118033,0.0483048,2213.3
ac,4,3,1,10.1.1.1,10.1.1.8,TCP,7705,7705,0,0,0.24989,0.0874379,106.844
ac,4,3,1,10.1.1.1,10.1.1.7,TCP,7701,7701,0,0,0.258331,0.0932142,106.788
ac,4,3,1,10.1.1.1,10.1.1.6,TCP,7701,7701,0,0,0.255597,0.0912189,106.788
ac,4,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,0.672547,0.425668,75.1499
ac,4,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,0.779755,0.428813,75.1499
ac,4,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,0.879262,0.42425,75.1499
ac,4,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,0.985998,0.426922,75.1499
ac,4,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,0.912495,0.605732,75.1499
ac,4,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,0.934671,0.598925,75.1499
ac,4,3,1,10.1.1.4,10.1.1.1,UDP,1499,1499,0,0,0.926752,0.613299,75.1499
ac,4,3,1,10.1.1.5,10.1.1.1,UDP,1499,1499,0,0,0.921351,0.630271,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,6,3,1,10.1.1.8,10.1.1.1,TCP,15407,15407,0,0,0.204549,0.104329,2212.87
ac,6,3,1,10.1.1.9,10.1.1.1,TCP,15407,15407,0,0,0.189247,0.0949478,2212.87
ac,6,3,1,10.1.1.10,10.1.1.1,TCP,15404,15404,0,0,0.22793,0.110849,2212.44
ac,6,3,1,10.1.1.1,10.1.1.9,TCP,7704,7704,0,0,0.292315,0.134693,106.83
ac,6,3,1,10.1.1.1,10.1.1.10,TCP,7702,7702,0,0,0.286962,0.139441,106.802
ac,6,3,1,10.1.1.1,10.1.1.8,TCP,7704,7704,0,0,0.290239,0.133342,106.83
ac,6,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,0.909975,0.622845,75.1499
ac,6,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,1.02401,0.632526,75.1499
ac,6,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,1.12918,0.633628,75.1499
ac,6,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,1.2354,0.636624,75.1499
ac,6,3,1,10.1.1.1,10.1.1.6,UDP,1499,1499,0,0,1.33784,0.634366,75.1499
ac,6,3,1,10.1.1.1,10.1.1.7,UDP,1499,1452,47,3.13542,3.41992,1.30114,72.7936
ac,6,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,1.26458,0.863443,75.1499
ac,6,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,1.29271,0.893639,75.1499
ac,6,3,1,10.1.1.4,10.1.1.1,UDP,1499,1499,0,0,1.2753,0.862177,75.1499
ac,6,3,1,10.1.1.5,10.1.1.1,UDP,1499,1499,0,0,1.24677,0.831947,75.1499
ac,6,3,1,10.1.1.6,10.1.1.1,UDP,1499,1499,0,0,1.26119,0.9158,75.1499
ac,6,3,1,10.1.1.7,10.1.1.1,UDP,1499,1499,0,0,1.27852,0.857312,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,8,3,1,10.1.1.10,10.1.1.1,TCP,15410,15410,0,0,0.419589,0.186296,2213.3
ac,8,3,1,10.1.1.11,10.1.1.1,TCP,15407,15407,0,0,0.285662,0.157633,2212.87
ac,8,3,1,10.1.1.12,10.1.1.1,TCP,15407,15407,0,0,0.26495,0.14475,2212.87
ac,8,3,1,10.1.1.1,10.1.1.10,TCP,7705,7705,0,0,0.353929,0.201314,106.844
ac,8,3,1,10.1.1.1,10.1.1.12,TCP,7704,7704,0,0,0.387447,0.232931,106.83
ac,8,3,1,10.1.1.1,10.1.1.11,TCP,7704,7704,0,0,0.340725,0.188203,106.83
ac,8,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,1.09775,0.76689,75.1499
ac,8,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,1.19071,0.757954,75.1499
ac,8,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,1.3163,0.772638,75.1499
ac,8,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,1.40159,0.760772,75.1499
ac,8,3,1,10.1.1.1,10.1.1.6,UDP,1499,1499,0,0,1.50331,0.75842,75.1499
ac,8,3,1,10.1.1.1,10.1.1.7,UDP,1499,1499,0,0,1.62425,0.770516,75.1499
ac,8,3,1,10.1.1.1,10.1.1.8,UDP,1499,1499,0,0,1.7244,0.768555,75.1499
ac,8,3,1,10.1.1.1,10.1.1.9,UDP,1499,1499,0,0,1.81058,0.753631,75.1499
ac,8,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,1.70145,1.16148,75.1499
ac,8,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,1.66406,1.15112,75.1499
ac,8,3,1,10.1.1.4,10.1.1.1,UDP,1499,1499,0,0,1.66235,1.13473,75.1499
ac,8,3,1,10.1.1.5,10.1.1.1,UDP,1499,1499,0,0,1.70251,1.15922,75.1499
ac,8,3,1,10.1.1.6,10.1.1.1,UDP,1499,1499,0,0,1.66664,1.19497,75.1499
ac,8,3,1,10.1.1.7,10.1.1.1,UDP,1499,1499,0,0,1.70075,1.13188,75.1499
ac,8,3,1,10.1.1.8,10.1.1.1,UDP,1499,1499,0,0,1.66591,1.14196,75.1499
ac,8,3,1,10.1.1.9,10.1.1.1,UDP,1499,1499,0,0,1.69765,1.14761,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,10,3,1,10.1.1.12,10.1.1.1,TCP,15410,15410,0,0,0.381556,0.220879,2213.3
ac,10,3,1,10.1.1.13,10.1.1.1,TCP,15410,15410,0,0,0.360389,0.205828,2213.3
ac,10,3,1,10.1.1.14,10.1.1.1,TCP,15401,15401,0,0,0.390474,0.226078,2212.01
ac,10,3,1,10.1.1.1,10.1.1.13,TCP,7705,7705,0,0,0.375347,0.23114,106.844
ac,10,3,1,10.1.1.1,10.1.1.12,TCP,7705,7705,0,0,0.382519,0.243145,106.844
ac,10,3,1,10.1.1.1,10.1.1.14,TCP,7701,7701,0,0,0.386037,0.245326,106.788
ac,10,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,1.21766,0.93602,75.1499
ac,10,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,1.3251,0.940726,75.1499
ac,10,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,1.43555,0.942675,75.1499
ac,10,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,1.52338,0.931023,75.1499
ac,10,3,1,10.1.1.1,10.1.1.6,UDP,1499,1499,0,0,1.64211,0.941889,75.1499
ac,10,3,1,10.1.1.1,10.1.1.7,UDP,1499,1499,0,0,1.73547,0.93515,75.1499
ac,10,3,1,10.1.1.1,10.1.1.8,UDP,1499,1499,0,0,1.85533,0.944434,75.1499
ac,10,3,1,10.1.1.1,10.1.1.9,UDP,1499,1499,0,0,1.95185,0.940697,75.1499
ac,10,3,1,10.1.1.1,10.1.1.10,UDP,1499,1452,47,3.13542,4.0341,1.60432,72.7936
ac,10,3,1,10.1.1.1,10.1.1.11,UDP,1499,1499,0,0,2.15072,0.938048,75.1499
ac,10,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,2.09809,1.40716,75.1499
ac,10,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,2.16071,1.38508,75.1499
ac,10,3,1,10.1.1.4,10.1.1.1,UDP,1499,1499,0,0,2.20517,1.40925,75.1499
ac,10,3,1,10.1.1.5,10.1.1.1,UDP,1499,1499,0,0,2.13389,1.47688,75.1499
ac,10,3,1,10.1.1.6,10.1.1.1,UDP,1499,1499,0,0,2.09672,1.40188,75.1499
ac,10,3,1,10.1.1.7,10.1.1.1,UDP,1499,1499,0,0,2.16472,1.44125,75.1499
ac,10,3,1,10.1.1.8,10.1.1.1,UDP,1499,1499,0,0,2.10856,1.40316,75.1499
ac,10,3,1,10.1.1.9,10.1.1.1,UDP,1499,1499,0,0,2.21817,1.37726,75.1499
ac,10,3,1,10.1.1.10,10.1.1.1,UDP,1499,1499,0,0,2.11352,1.43163,75.1499
ac,10,3,1,10.1.1.11,10.1.1.1,UDP,1499,1499,0,0,2.18163,1.39777,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,12,3,1,10.1.1.14,10.1.1.1,TCP,15404,15404,0,0,0.59685,0.334998,2212.44
ac,12,3,1,10.1.1.15,10.1.1.1,TCP,15407,15407,0,0,0.499435,0.297208,2212.87
ac,12,3,1,10.1.1.16,10.1.1.1,TCP,15410,15410,0,0,0.533539,0.31994,2213.3
ac,12,3,1,10.1.1.1,10.1.1.16,TCP,7705,7705,0,0,0.604555,0.32136,106.844
ac,12,3,1,10.1.1.1,10.1.1.14,TCP,7702,7702,0,0,0.629832,0.354735,106.802
ac,12,3,1,10.1.1.1,10.1.1.15,TCP,7704,7704,0,0,0.440793,0.303339,106.83
ac,12,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,1.35334,1.00677,75.1499
ac,12,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,1.47935,1.01868,75.1499
ac,12,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,1.54944,0.998064,75.1499
ac,12,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,1.67128,1.01057,75.1499
ac,12,3,1,10.1.1.1,10.1.1.6,UDP,1499,1499,0,0,1.7868,1.0163,75.1499
ac,12,3,1,10.1.1.1,10.1.1.7,UDP,1499,1499,0,0,1.86574,1.00259,75.1499
ac,12,3,1,10.1.1.1,10.1.1.8,UDP,1499,1499,0,0,1.97916,1.00841,75.1499
ac,12,3,1,10.1.1.1,10.1.1.9,UDP,1499,1499,0,0,2.09256,1.01308,75.1499
ac,12,3,1,10.1.1.1,10.1.1.10,UDP,1499,1499,0,0,2.19757,1.01356,75.1499
ac,12,3,1,10.1.1.1,10.1.1.11,UDP,1499,1499,0,0,2.30308,1.01428,75.1499
ac,12,3,1,10.1.1.1,10.1.1.12,UDP,1499,1499,0,0,2.38819,1.00555,75.1499
ac,12,3,1,10.1.1.1,10.1.1.13,UDP,1499,1499,0,0,2.48732,1.0006,75.1499
ac,12,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,2.62061,1.66375,75.1499
ac,12,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,2.66118,1.74943,75.1499
ac,12,3,1,10.1.1.4,10.1.1.1,UDP,1499,1499,0,0,2.58097,1.75454,75.1499
ac,12,3,1,10.1.1.5,10.1.1.1,UDP,1499,1499,0,0,2.63292,1.7033,75.1499
ac,12,3,1,10.1.1.6,10.1.1.1,UDP,1499,1499,0,0,2.56687,1.68298,75.1499
ac,12,3,1,10.1.1.7,10.1.1.1,UDP,1499,1499,0,0,2.60366,1.67714,75.1499
ac,12,3,1,10.1.1.8,10.1.1.1,UDP,1499,1499,0,0,2.59603,1.70708,75.1499
ac,12,3,1,10.1.1.9,10.1.1.1,UDP,1499,1499,0,0,2.60368,1.65001,75.1499
ac,12,3,1,10.1.1.10,10.1.1.1,UDP,1499,1499,0,0,2.66609,1.67983,75.1499
ac,12,3,1,10.1.1.11,10.1.1.1,UDP,1499,1499,0,0,2.73129,1.71923,75.1499
ac,12,3,1,10.1.1.12,10.1.1.1,UDP,1499,1499,0,0,2.54774,1.69192,75.1499
ac,12,3,1,10.1.1.13,10.1.1.1,UDP,1499,1499,0,0,2.60405,1.71521,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,15,3,1,10.1.1.17,10.1.1.1,TCP,15407,15407,0,0,0.811941,0.493444,2212.87
ac,15,3,1,10.1.1.18,10.1.1.1,TCP,15404,15404,0,0,0.807026,0.491894,2212.44
ac,15,3,1,10.1.1.19,10.1.1.1,TCP,15406,15406,0,0,0.814045,0.492556,2212.86
ac,15,3,1,10.1.1.1,10.1.1.19,TCP,7703,7703,0,0,0.534144,0.393531,106.816
ac,15,3,1,10.1.1.1,10.1.1.17,TCP,7704,7704,0,0,0.538992,0.403959,106.83
ac,15,3,1,10.1.1.1,10.1.1.18,TCP,7702,7702,0,0,0.535138,0.399257,106.802
ac,15,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,1.64319,1.23941,75.1499
ac,15,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,1.77324,1.25835,75.1499
ac,15,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,1.8803,1.25985,75.1499
ac,15,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,1.95361,1.23837,75.1499
ac,15,3,1,10.1.1.1,10.1.1.6,UDP,1499,1499,0,0,2.06649,1.24717,75.1499
ac,15,3,1,10.1.1.1,10.1.1.7,UDP,1499,1499,0,0,2.18427,1.25573,75.1499
ac,15,3,1,10.1.1.1,10.1.1.8,UDP,1499,1499,0,0,2.28061,1.25187,75.1499
ac,15,3,1,10.1.1.1,10.1.1.9,UDP,1499,1499,0,0,2.39392,1.25649,75.1499
ac,15,3,1,10.1.1.1,10.1.1.10,UDP,1499,1499,0,0,2.51194,1.26243,75.1499
ac,15,3,1,10.1.1.1,10.1.1.11,UDP,1499,1499,0,0,2.59062,1.25095,75.1499
ac,15,3,1,10.1.1.1,10.1.1.12,UDP,1499,1499,0,0,2.68924,1.24652,75.1499
ac,15,3,1,10.1.1.1,10.1.1.13,UDP,1499,1499,0,0,2.79618,1.24935,75.1499
ac,15,3,1,10.1.1.1,10.1.1.14,UDP,1499,1499,0,0,2.90592,1.2525,75.1499
ac,15,3,1,10.1.1.1,10.1.1.15,UDP,1499,1499,0,0,3.0049,1.2501,75.1499
ac,15,3,1,10.1.1.1,10.1.1.16,UDP,1499,1499,0,0,3.11527,1.25311,75.1499
ac,15,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,3.32408,2.09903,75.1499
ac,15,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,3.30105,2.07069,75.1499
ac,15,3,1,10.1.1.4,10.1.1.1,UDP,1499,1499,0,0,3.25739,2.13956,75.1499
ac,15,3,1,10.1.1.5,10.1.1.1,UDP,1499,1499,0,0,3.19335,2.02879,75.1499
ac,15,3,1,10.1.1.6,10.1.1.1,UDP,1499,1499,0,0,3.28482,2.14908,75.1499
ac,15,3,1,10.1.1.7,10.1.1.1,UDP,1499,1499,0,0,3.27847,2.09802,75.1499
ac,15,3,1,10.1.1.8,10.1.1.1,UDP,1499,1499,0,0,3.27722,2.19814,75.1499
ac,15,3,1,10.1.1.9,10.1.1.1,UDP,1499,1499,0,0,3.2291,2.10442,75.1499
ac,15,3,1,10.1.1.10,10.1.1.1,UDP,1499,1499,0,0,3.26643,2.0905,75.1499
ac,15,3,1,10.1.1.11,10.1.1.1,UDP,1499,1499,0,0,3.33102,2.12022,75.1499
ac,15,3,1,10.1.1.12,10.1.1.1,UDP,1499,1499,0,0,3.35285,2.09503,75.1499
ac,15,3,1,10.1.1.13,10.1.1.1,UDP,1499,1499,0,0,3.28429,2.12534,75.1499
ac,15,3,1,10.1.1.14,10.1.1.1,UDP,1499,1499,0,0,3.30132,2.19967,75.1499
ac,15,3,1,10.1.1.15,10.1.1.1,UDP,1499,1499,0,0,3.26712,2.1638,75.1499
ac,15,3,1,10.1.1.16,10.1.1.1,UDP,1499,1499,0,0,3.24529,2.094,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,20,3,1,10.1.1.22,10.1.1.1,TCP,15406,15406,0,0,1.41902,0.817833,2212.86
ac,20,3,1,10.1.1.23,10.1.1.1,TCP,15406,15406,0,0,1.39698,0.806589,2212.86
ac,20,3,1,10.1.1.24,10.1.1.1,TCP,15403,15403,0,0,1.43648,0.824511,2212.43
ac,20,3,1,10.1.1.1,10.1.1.23,TCP,7703,7703,0,0,0.741408,0.574457,106.816
ac,20,3,1,10.1.1.1,10.1.1.24,TCP,7702,7702,0,0,0.719717,0.568997,106.802
ac,20,3,1,10.1.1.1,10.1.1.22,TCP,7703,7703,0,0,0.719252,0.562115,106.816
ac,20,3,1,10.1.1.1,10.1.1.2,UDP,1499,1452,47,3.13542,3.88565,2.22092,72.7936
ac,20,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,2.01108,1.555,75.1499
ac,20,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,2.1226,1.55957,75.1499
ac,20,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,2.24682,1.57021,75.1499
ac,20,3,1,10.1.1.1,10.1.1.6,UDP,1499,1452,47,3.13542,4.30412,2.22185,72.7936
ac,20,3,1,10.1.1.1,10.1.1.7,UDP,1499,1452,47,3.13542,4.41087,2.22274,72.7936
ac,20,3,1,10.1.1.1,10.1.1.8,UDP,1499,1499,0,0,2.53713,1.56226,75.1499
ac,20,3,1,10.1.1.1,10.1.1.9,UDP,1499,1499,0,0,2.65237,1.56787,75.1499
ac,20,3,1,10.1.1.1,10.1.1.10,UDP,1499,1452,47,3.13542,4.72456,2.22324,72.7936
ac,20,3,1,10.1.1.1,10.1.1.11,UDP,1499,1499,0,0,2.88204,1.5715,75.1499
ac,20,3,1,10.1.1.1,10.1.1.12,UDP,1499,1452,47,3.13542,4.93477,2.22393,72.7936
ac,20,3,1,10.1.1.1,10.1.1.13,UDP,1499,1499,0,0,3.08873,1.5721,75.1499
ac,20,3,1,10.1.1.1,10.1.1.14,UDP,1499,1499,0,0,3.15505,1.5628,75.1499
ac,20,3,1,10.1.1.1,10.1.1.15,UDP,1499,1499,0,0,3.28093,1.56771,75.1499
ac,20,3,1,10.1.1.1,10.1.1.16,UDP,1499,1499,0,0,3.3895,1.56827,75.1499
ac,20,3,1,10.1.1.1,10.1.1.17,UDP,1499,1499,0,0,3.45368,1.55653,75.1499
ac,20,3,1,10.1.1.1,10.1.1.18,UDP,1499,1499,0,0,3.58296,1.56907,75.1499
ac,20,3,1,10.1.1.1,10.1.1.19,UDP,1499,1499,0,0,3.67595,1.56355,75.1499
ac,20,3,1,10.1.1.1,10.1.1.20,UDP,1499,1499,0,0,3.76008,1.55114,75.1499
ac,20,3,1,10.1.1.1,10.1.1.21,UDP,1499,1452,47,3.13542,5.87179,2.22408,72.7936
ac,20,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,4.63558,2.77914,75.1499
ac,20,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,4.51184,2.76513,75.1499
ac,20,3,1,10.1.1.4,10.1.1.1,UDP,1499,1498,1,0.0667111,4.70896,2.88145,75.0997
ac,20,3,1,10.1.1.5,10.1.1.1,UDP,1499,1499,0,0,4.4717,2.82336,75.1499
ac,20,3,1,10.1.1.6,10.1.1.1,UDP,1499,1498,1,0.0667111,4.55932,2.84936,75.0997
ac,20,3,1,10.1.1.7,10.1.1.1,UDP,1499,1498,1,0.0667111,4.62754,2.82712,75.0997
ac,20,3,1,10.1.1.8,10.1.1.1,UDP,1499,1498,1,0.0667111,4.73033,2.82594,75.0997
ac,20,3,1,10.1.1.9,10.1.1.1,UDP,1499,1499,0,0,4.5752,2.82594,75.1499
ac,20,3,1,10.1.1.10,10.1.1.1,UDP,1499,1499,0,0,4.64741,2.87534,75.1499
ac,20,3,1,10.1.1.11,10.1.1.1,UDP,1499,1499,0,0,4.55173,2.94358,75.1499
ac,20,3,1,10.1.1.12,10.1.1.1,UDP,1499,1499,0,0,4.49549,2.82669,75.1499
ac,20,3,1,10.1.1.13,10.1.1.1,UDP,1499,1499,0,0,4.63579,2.8249,75.1499
ac,20,3,1,10.1.1.14,10.1.1.1,UDP,1499,1499,0,0,4.55938,2.83116,75.1499
ac,20,3,1,10.1.1.15,10.1.1.1,UDP,1499,1499,0,0,4.60658,2.91866,75.1499
ac,20,3,1,10.1.1.16,10.1.1.1,UDP,1499,1499,0,0,4.64684,2.74784,75.1499
ac,20,3,1,10.1.1.17,10.1.1.1,UDP,1499,1498,1,0.0667111,4.63342,2.8613,75.0997
ac,20,3,1,10.1.1.18,10.1.1.1,UDP,1499,1499,0,0,4.60385,2.86079,75.1499
ac,20,3,1,10.1.1.19,10.1.1.1,UDP,1499,1499,0,0,4.58169,2.90049,75.1499
ac,20,3,1,10.1.1.20,10.1.1.1,UDP,1499,1499,0,0,4.50667,2.82196,75.1499
ac,20,3,1,10.1.1.21,10.1.1.1,UDP,1499,1498,1,0.0667111,4.68309,2.84905,75.0997
